node,ip,port,country,colo,latency_ms,speed_mbps,score,stability,latency_score,speed_penalty,speed_tier,stability_weighted
43.133.61.219:443,43.133.61.219,443,SG,SIN,118.03,12.34,156.01,500,118.03,7.98,below_15mbps,30.0
147.79.20.239:443,147.79.20.239,443,JP,,137.79,80.3,156.42,500,137.79,-11.36,above_30mbps_reward,30.0
92.113.124.215:2096,92.113.124.215,2096,JP,NRT,138.95,64.93,160.04,500,138.95,-8.91,above_30mbps_reward,30.0
154.83.91.206:443,154.83.91.206,443,JP,NRT,145.64,74.1,165.2,500,145.64,-10.44,above_30mbps_reward,30.0
134.185.88.235:8443,134.185.88.235,8443,SG,SIN,148.02,90.34,165.3,500,148.02,-12.72,above_30mbps_reward,30.0
147.79.20.181:443,147.79.20.181,443,JP,,146.8,70.49,166.94,500,146.8,-9.86,above_30mbps_reward,30.0
31.57.172.60:443,31.57.172.60,443,JP,,148.83,83.73,166.98,500,148.83,-11.85,above_30mbps_reward,30.0
140.235.37.78:443,140.235.37.78,443,JP,NRT,139.57,14.94,169.75,500,139.57,0.18,below_15mbps,30.0
154.83.93.180:443,154.83.93.180,443,JP,,153.54,92.71,170.52,500,153.54,-13.02,above_30mbps_reward,30.0
31.57.172.172:443,31.57.172.172,443,JP,,148.81,59.94,170.82,500,148.81,-7.99,above_30mbps_reward,30.0
161.118.195.117:8443,161.118.195.117,8443,SG,SIN,146.92,40.05,173.59,500,146.92,-3.33,above_30mbps_reward,30.0
140.245.107.0:8443,140.245.107.0,8443,SG,SIN,149.63,46.59,174.55,500,149.63,-5.08,above_30mbps_reward,30.0
161.118.223.30:8443,161.118.223.30,8443,SG,SIN,153.12,52.93,176.57,500,153.12,-6.55,above_30mbps_reward,30.0
92.113.124.39:443,92.113.124.39,443,JP,NRT,148.77,30.69,178.51,500,148.77,-0.26,above_30mbps_reward,30.0
147.79.20.144:443,147.79.20.144,443,JP,,159.86,74.09,179.43,500,159.86,-10.43,above_30mbps_reward,30.0
82.40.35.90:443,82.40.35.90,443,JP,,145.79,20.88,180.35,500,145.79,4.56,below_30mbps,30.0
45.251.240.149:443,45.251.240.149,443,JP,,160.55,62.82,182.02,500,160.55,-8.53,above_30mbps_reward,30.0
45.63.122.93:443,45.63.122.93,443,JP,NRT,168.45,83.18,186.68,500,168.45,-11.77,above_30mbps_reward,30.0
156.231.112.27:443,156.231.112.27,443,JP,,154.49,17.7,190.64,500,154.49,6.15,below_30mbps,30.0
212.135.215.5:443,212.135.215.5,443,JP,,174.86,75.23,194.25,500,174.86,-10.61,above_30mbps_reward,30.0
216.23.86.105:8443,216.23.86.105,8443,JP,NRT,159.24,16.16,196.16,500,159.24,6.92,below_30mbps,30.0
43.160.246.223:8443,43.160.246.223,8443,SG,SIN,189.15,198.22,197.36,500,189.15,-21.79,above_30mbps_reward,30.0
198.13.53.115:443,198.13.53.115,443,JP,,182.57,74.22,202.12,500,182.57,-10.45,above_30mbps_reward,30.0
133.117.72.96:443,133.117.72.96,443,JP,,182.53,72.7,202.32,500,182.53,-10.22,above_30mbps_reward,30.0
45.76.221.84:443,45.76.221.84,443,JP,,183.42,78.29,202.35,500,183.42,-11.07,above_30mbps_reward,30.0
45.76.104.245:443,45.76.104.245,443,JP,,183.36,72.56,203.17,500,183.36,-10.19,above_30mbps_reward,30.0
45.76.211.17:443,45.76.211.17,443,JP,,184.06,70.72,204.16,500,184.06,-9.9,above_30mbps_reward,30.0
45.77.21.148:443,45.77.21.148,443,JP,,183.61,67.83,204.2,500,183.61,-9.42,above_30mbps_reward,30.0
45.32.37.248:443,45.32.37.248,443,JP,NRT,185.32,73.52,204.97,500,185.32,-10.35,above_30mbps_reward,30.0
149.28.21.204:443,149.28.21.204,443,JP,,185.68,74.87,205.13,500,185.68,-10.56,above_30mbps_reward,30.0
64.176.38.23:2083,64.176.38.23,2083,JP,KIX,185.31,59.16,207.47,500,185.31,-7.84,above_30mbps_reward,30.0
45.76.222.52:8443,45.76.222.52,8443,JP,NRT,189.35,77.74,208.36,500,189.35,-10.99,above_30mbps_reward,30.0
45.32.22.205:443,45.32.22.205,443,JP,NRT,188.91,72.45,208.73,500,188.91,-10.18,above_30mbps_reward,30.0
172.237.5.208:2053,172.237.5.208,2053,JP,NRT,189.21,62.72,210.7,500,189.21,-8.51,above_30mbps_reward,30.0
45.76.208.123:8443,45.76.208.123,8443,JP,NRT,191.44,75.88,210.73,500,191.44,-10.71,above_30mbps_reward,30.0
167.179.102.152:443,167.179.102.152,443,JP,,190.72,69.91,210.96,500,190.72,-9.76,above_30mbps_reward,30.0
198.13.43.34:443,198.13.43.34,443,JP,,192.11,77.38,211.17,500,192.11,-10.94,above_30mbps_reward,30.0
45.32.54.234:443,45.32.54.234,443,JP,,191.24,70.31,211.41,500,191.24,-9.83,above_30mbps_reward,30.0
45.77.134.44:443,45.77.134.44,443,JP,NRT,191.93,74.54,211.43,500,191.93,-10.5,above_30mbps_reward,30.0
45.32.16.36:443,45.32.16.36,443,JP,,192.03,69.1,212.4,500,192.03,-9.63,above_30mbps_reward,30.0
45.32.22.28:443,45.32.22.28,443,JP,NRT,193.07,74.06,212.64,500,193.07,-10.43,above_30mbps_reward,30.0
198.13.57.168:443,198.13.57.168,443,JP,,192.68,69.96,212.91,500,192.68,-9.77,above_30mbps_reward,30.0
207.148.107.59:443,207.148.107.59,443,JP,,193.19,70.07,213.39,500,193.19,-9.79,above_30mbps_reward,30.0
45.76.48.18:443,45.76.48.18,443,JP,,193.79,70.96,213.85,500,193.79,-9.94,above_30mbps_reward,30.0
45.32.39.53:443,45.32.39.53,443,JP,,194.18,67.38,214.85,500,194.18,-9.34,above_30mbps_reward,30.0
